runtime_root=/home/leminity/.local/realm-emulator-libs/root
library_path=/home/leminity/.local/realm-emulator-libs/root/usr/lib/x86_64-linux-gnu:/home/leminity/.local/realm-emulator-libs/root/usr/lib/x86_64-linux-gnu/pulseaudio
libasyncns0	0.8-6build4	libasyncns0_0.8-6build4_amd64.deb
libflac12t64	1.4.3+ds-2.1ubuntu2	libflac12t64_1.4.3+ds-2.1ubuntu2_amd64.deb
libmp3lame0	3.100-6build1	libmp3lame0_3.100-6build1_amd64.deb
libmpg123-0t64	1.32.5-1ubuntu1.1	libmpg123-0t64_1.32.5-1ubuntu1.1_amd64.deb
libnspr4	2:4.35-1.1build1	libnspr4_2%3a4.35-1.1build1_amd64.deb
libnss3	2:3.98-1ubuntu0.2	libnss3_2%3a3.98-1ubuntu0.2_amd64.deb
libogg0	1.3.5-3build1	libogg0_1.3.5-3build1_amd64.deb
libopus0	1.4-1build1	libopus0_1.4-1build1_amd64.deb
libsndfile1	1.2.2-1ubuntu5.24.04.1	libsndfile1_1.2.2-1ubuntu5.24.04.1_amd64.deb
libvorbis0a	1.3.7-1build3	libvorbis0a_1.3.7-1build3_amd64.deb
libvorbisenc2	1.3.7-1build3	libvorbisenc2_1.3.7-1build3_amd64.deb
libxkbfile1	1:1.1.0-1build4	libxkbfile1_1%3a1.1.0-1build4_amd64.deb
